"";"Method";"sensitivity_mean_3";"sensitivity_mean_5";"sensitivity_mean_10";"sensitivity_sd_3";"sensitivity_sd_5";"sensitivity_sd_10";"false.disc.rate_mean_3";"false.disc.rate_mean_5";"false.disc.rate_mean_10";"false.disc.rate_sd_3";"false.disc.rate_sd_5";"false.disc.rate_sd_10";"Sensitivity_3";"Sensitivity_5";"Sensitivity_10";"FDR_3";"FDR_5";"FDR_10"
"1";"Raw.EWAS.none";"99.667";"97.4";"91.1";"3.33";"6.75995337979262";"8.74960316560446";"89.505";"84.836";"76.459";"2.87266374114635";"3.62743530179201";"3.93780164789719";"99.7 (3.3)";"97.4 (6.8)";"91.1 (8.7)";"89.5 (2.9)";"84.8 (3.6)";"76.5 (3.9)"
"2";"Raw.EWAS.bon";"84.013";"68";"43.5";"18.6302765151326";"19.2799681461659";"14.5209705549796";"37.247";"29.091";"25.725";"27.5269581547349";"24.3075001727135";"19.3102964893098";"84 (18.6)";"68 (19.3)";"43.5 (14.5)";"37.2 (27.5)";"29.1 (24.3)";"25.7 (19.3)"
"3";"Raw.EWAS.bh";"95.338";"88.4";"70.4";"11.6128784310586";"14.2644574896751";"15.3688652867419";"60.829";"56.232";"52.296";"23.2236960795641";"19.0421641669642";"15.9083290553513";"95.3 (11.6)";"88.4 (14.3)";"70.4 (15.4)";"60.8 (23.2)";"56.2 (19)";"52.3 (15.9)"
"4";"Raw.EWAS.by";"86.345";"74.6";"49.1";"17.7754817803978";"19.8692697094755";"19.441442769756";"42.496";"34.733";"30.825";"28.3823174429845";"24.1929159637337";"19.9193493818945";"86.3 (17.8)";"74.6 (19.9)";"49.1 (19.4)";"42.5 (28.4)";"34.7 (24.2)";"30.8 (19.9)"
"5";"Raw.EWAS_LM.none";"53.332";"37.2";"27.7";"29.9780824987695";"23.097509595083";"16.4442738183886";"73.252";"71.785";"64.709";"16.1084110032773";"19.4466552134268";"18.2932680392421";"53.3 (30)";"37.2 (23.1)";"27.7 (16.4)";"73.3 (16.1)";"71.8 (19.4)";"64.7 (18.3)"
"6";"Raw.EWAS_LM.bon";"55.336";"34.6";"21.9";"30.4304158049246";"20.2718892792333";"11.7803980313815";"19.814";"17.881";"19.111";"27.2493166256634";"25.9555435584413";"24.6615223751208";"55.3 (30.4)";"34.6 (20.3)";"21.9 (11.8)";"19.8 (27.2)";"17.9 (26)";"19.1 (24.7)"
"7";"Raw.EWAS_LM.bh";"56";"39.4";"29.5";"28.7865463806489";"21.9190429636981";"15.3330039490313";"46.251";"46.92";"39.295";"30.2785836071063";"28.9930503689586";"24.3437643686502";"56 (28.8)";"39.4 (21.9)";"29.5 (15.3)";"46.3 (30.3)";"46.9 (29)";"39.3 (24.3)"
"8";"Raw.EWAS_LM.by";"55.007";"37";"22.7";"27.7920715930703";"20.1759933354149";"11.6215578155687";"23.147";"23.633";"20.036";"27.8552443423808";"29.4339289380007";"23.8877404844942";"55 (27.8)";"37 (20.2)";"22.7 (11.6)";"23.1 (27.9)";"23.6 (29.4)";"20 (23.9)"
"9";"Raw.ENET_MIN";"99.334";"95.4";"89.5";"4.68548629473845";"10.1920943813717";"10.286305498481";"80.655";"78.056";"69.412";"12.0641582442131";"11.5335025386082";"10.1497900659983";"99.3 (4.7)";"95.4 (10.2)";"89.5 (10.3)";"80.7 (12.1)";"78.1 (11.5)";"69.4 (10.1)"
"10";"Raw.ENET_OPT";"77.01";"60.8";"40";"25.8180287020641";"29.8033961863816";"27.1174028135722";"13.735";"17.017";"15.838";"19.8301289746566";"21.9444710369357";"18.344149867013";"77 (25.8)";"60.8 (29.8)";"40 (27.1)";"13.7 (19.8)";"17 (21.9)";"15.8 (18.3)"
