"";"Method";"sensitivity_mean_3";"sensitivity_mean_5";"sensitivity_mean_10";"sensitivity_sd_3";"sensitivity_sd_5";"sensitivity_sd_10";"false.disc.rate_mean_3";"false.disc.rate_mean_5";"false.disc.rate_mean_10";"false.disc.rate_sd_3";"false.disc.rate_sd_5";"false.disc.rate_sd_10";"Sensitivity_3";"Sensitivity_5";"Sensitivity_10";"FDR_3";"FDR_5";"FDR_10"
"1";"Raw.ExWAS.none";"99.001";"92";"72.5";"5.70917204632558";"11.7206543065538";"14.0255898883851";"93.46";"90.348";"86.981";"1.90395653969583";"3.36117103210633";"3.97864742764867";"99 (5.7)";"92 (11.7)";"72.5 (14)";"93.5 (1.9)";"90.3 (3.4)";"87 (4)"
"2";"Raw.Exwas.bon";"74.011";"38.4";"15.1";"24.8839118648369";"20.0363306384813";"12.5926866702764";"41.972";"34.129";"34.088";"30.4379849078832";"31.8428092988104";"33.831165119359";"74 (24.9)";"38.4 (20)";"15.1 (12.6)";"42 (30.4)";"34.1 (31.8)";"34.1 (33.8)"
"3";"Raw.ExWAS.bh";"85.343";"57.4";"26";"20.818155707716";"26.1549385027151";"19.6432834795659";"56.049";"47.866";"46.152";"28.7426810886113";"31.1033734894503";"35.0685633776711";"85.3 (20.8)";"57.4 (26.2)";"26 (19.6)";"56 (28.7)";"47.9 (31.1)";"46.2 (35.1)"
"4";"Raw.ExWAS.by";"69.008";"34.8";"11.5";"29.3094278623135";"23.5479309177059";"14.3811745632331";"35.736";"28.657";"24.141";"33.3041797358648";"33.3227293891031";"32.3956291321636";"69 (29.3)";"34.8 (23.5)";"11.5 (14.4)";"35.7 (33.3)";"28.7 (33.3)";"24.1 (32.4)"
"5";"Raw.ExWAS.MLM.none";"66.345";"47.6";"20.7";"27.426619727866";"20.0564858901709";"13.944695961352";"71.912";"69.449";"72.619";"14.5129707224923";"13.8636469249836";"15.9403350597841";"66.3 (27.4)";"47.6 (20.1)";"20.7 (13.9)";"71.9 (14.5)";"69.4 (13.9)";"72.6 (15.9)"
"6";"Raw.Exwas.MLM.bon";"60.674";"28";"10.2";"28.1924576918556";"18.8561808316413";"11.0991855193036";"13.997";"10.483";"18.915";"26.4009429545403";"21.8062360416242";"32.2383370971252";"60.7 (28.2)";"28 (18.9)";"10.2 (11.1)";"14 (26.4)";"10.5 (21.8)";"18.9 (32.2)"
"7";"Raw.ExWAS.MLM.bh";"66.676";"40";"14.6";"26.8093950063417";"21.8350103450325";"12.425129310548";"23.347";"23.307";"28.666";"26.331885096348";"27.7806278517672";"32.25380791864";"66.7 (26.8)";"40 (21.8)";"14.6 (12.4)";"23.3 (26.3)";"23.3 (27.8)";"28.7 (32.3)"
"8";"Raw.ExWAS.MLM.by";"56.003";"26";"7.2";"29.9321773921368";"19.3844673839024";"10.2572959990497";"10.415";"11.25";"12.9";"24.1392817673274";"25.1629658125756";"27.2598383685375";"56 (29.9)";"26 (19.4)";"7.2 (10.3)";"10.4 (24.1)";"11.2 (25.2)";"12.9 (27.3)"
"9";"Raw.ENET.min";"94.671";"79.8";"52.8";"13.1554520325916";"17.8648122058844";"18.8604658404073";"80.398";"78.866";"75.979";"11.6492422261898";"12.1909820951572";"14.7276713033732";"94.7 (13.2)";"79.8 (17.9)";"52.8 (18.9)";"80.4 (11.6)";"78.9 (12.2)";"76 (14.7)"
"10";"Raw.ENET.opt";"33.661";"13";"4.9";"33.3374388229319";"20.3752672412294";"10.6832257830354";"7.25";"9.35";"12.152";"18.9188351446997";"22.8977238514171";"30.5352139158855";"33.7 (33.3)";"13 (20.4)";"4.9 (10.7)";"7.2 (18.9)";"9.3 (22.9)";"12.2 (30.5)"
"11";"Raw.sPLS";"78.341";"54.2";"25.6";"24.7909200345936";"26.0992666021809";"22.5325802276875";"28.968";"35.47";"43.381";"29.7871197165839";"29.9629485002441";"34.9066249247383";"78.3 (24.8)";"54.2 (26.1)";"25.6 (22.5)";"29 (29.8)";"35.5 (30)";"43.4 (34.9)"
"12";"Raw.sNPLS";"71.01";"52.4";"40.4";"23.5321636759718";"28.2528268005561";"29.8115291913594";"53.712";"65.724";"60.556";"33.0754090349353";"27.0347442743555";"31.7450714221272";"71 (23.5)";"52.4 (28.3)";"40.4 (29.8)";"53.7 (33.1)";"65.7 (27)";"60.6 (31.7)"
"13";"Raw.MMPC";"84.008";"65.4";"34.2";"21.4384704715989";"20.4702296770286";"13.7935719182026";"70.458";"66.312";"67.147";"10.7487483884958";"12.0577589756618";"12.4989894945087";"84 (21.4)";"65.4 (20.5)";"34.2 (13.8)";"70.5 (10.7)";"66.3 (12.1)";"67.1 (12.5)"
"14";"Raw.DSA";"70.677";"39.6";"12.2";"27.743536347966";"24.9411428379015";"12.4381297109763";"21.546";"22.286";"22.966";"24.3982132977235";"27.5511206027023";"32.4804034781129";"70.7 (27.7)";"39.6 (24.9)";"12.2 (12.4)";"21.5 (24.4)";"22.3 (27.6)";"23 (32.5)"
"15";"DLNMpen.none";"79.677";"64.4";"41";"23.158037874177";"20.8079238985944";"16.4838457805565";"89.008";"86.053";"85.239";"5.38279488816737";"7.48333441317398";"6.56330316874426";"79.7 (23.2)";"64.4 (20.8)";"41 (16.5)";"89 (5.4)";"86.1 (7.5)";"85.2 (6.6)"
"16";"DLNMpen.bonf";"55.667";"26";"10.7";"28.4632069964938";"19.7969490558316";"10.1757286984989";"42.907";"43.459";"44.763";"30.9086835400963";"34.5112808229484";"37.0945029960674";"55.7 (28.5)";"26 (19.8)";"10.7 (10.2)";"42.9 (30.9)";"43.5 (34.5)";"44.8 (37.1)"
"17";"DLNMpen.bh";"63.339";"35";"17.8";"28.239688007977";"24.0159879406964";"16.9717531221852";"53.284";"49.167";"50.951";"31.1043720984103";"34.2739617721027";"35.6536835474969";"63.3 (28.2)";"35 (24)";"17.8 (17)";"53.3 (31.1)";"49.2 (34.3)";"51 (35.7)"
"18";"DLNMpen.by";"50.334";"19.8";"8";"30.8975407474838";"20.7914123686398";"10.8245885451465";"37.63";"33.575";"32.998";"31.9755130426931";"35.4226069884556";"37.9111001042058";"50.3 (30.9)";"19.8 (20.8)";"8 (10.8)";"37.6 (32)";"33.6 (35.4)";"33 (37.9)"
"19";"DLNMselect.none";"68.347";"49.6";"23.8";"24.3376810354195";"20.593222382153";"14.7559267325835";"89.36";"87.033";"89.269";"4.87740616609801";"6.58383473349535";"7.10724051068821";"68.3 (24.3)";"49.6 (20.6)";"23.8 (14.8)";"89.4 (4.9)";"87 (6.6)";"89.3 (7.1)"
