;Method;nselected;tn;fn;fp;tp;data.i;sensitivity;specificity;false.pos.rate;false.neg.rate;false.disc.rate;false.omit.rate;expo;ICC
tot;Raw.ExWAS.none;34;466;0;31;3;1;100;93,8;6,2;0;91,2;0;3;1
tot.1;Raw.ExWAS.MLM.none;8;491;1;6;2;1;66,7;98,8;1,2;33,3;75;0,2;3;1
tot.2;Raw.Exwas.bon;7;492;1;5;2;1;66,7;99;1;33,3;71,4;0,2;3;1
tot.3;Raw.Exwas.MLM.bon;3;495;2;2;1;1;33,3;99,6;0,4;66,7;66,7;0,4;3;1
tot.4;Raw.ExWAS.bh;10;489;1;8;2;1;66,7;98,4;1,6;33,3;80;0,2;3;1
tot.5;Raw.ExWAS.MLM.bh;4;494;2;3;1;1;33,3;99,4;0,6;66,7;75;0,4;3;1
tot.6;Raw.ExWAS.by;7;492;1;5;2;1;66,7;99;1;33,3;71,4;0,2;3;1
tot.7;Raw.ExWAS.MLM.by;3;495;2;2;1;1;33,3;99,6;0,4;66,7;66,7;0,4;3;1
tot.8;Raw.ENET.min;9;490;1;7;2;1;66,7;98,6;1,4;33,3;77,8;0,2;3;1
tot.9;Raw.ENET.opt;2;496;2;1;1;1;33,3;99,8;0,2;66,7;50;0,4;3;1
tot.10;Raw.sPLS;3;495;2;2;1;1;33,3;99,6;0,4;66,7;66,7;0,4;3;1
tot.11;Raw.sNPLS;8;491;1;6;2;1;66,7;98,8;1,2;33,3;75;0,2;3;1
tot.12;Raw.MMPC;7;492;1;5;2;1;66,7;99;1;33,3;71,4;0,2;3;1
tot.13;Raw.DSA;2;496;2;1;1;1;33,3;99,8;0,2;66,7;50;0,4;3;1
tot.14;Av.ExWAS.none;24;475;1;22;2;1;66,7;95,6;4,4;33,3;91,7;0,2;3;1
tot.15;Av.ExWAS.MLM.none;4;494;2;3;1;1;33,3;99,4;0,6;66,7;75;0,4;3;1
tot.16;Av.Exwas.bon;10;489;1;8;2;1;66,7;98,4;1,6;33,3;80;0,2;3;1
tot.17;Av.Exwas.MLM.bon;3;495;2;2;1;1;33,3;99,6;0,4;66,7;66,7;0,4;3;1
tot.18;Av.ExWAS.bh;13;486;1;11;2;1;66,7;97,8;2,2;33,3;84,6;0,2;3;1
tot.19;Av.ExWAS.MLM.bh;4;494;2;3;1;1;33,3;99,4;0,6;66,7;75;0,4;3;1
tot.20;Av.ExWAS.by;10;489;1;8;2;1;66,7;98,4;1,6;33,3;80;0,2;3;1
tot.21;Av.ExWAS.MLM.by;3;495;2;2;1;1;33,3;99,6;0,4;66,7;66,7;0,4;3;1
tot.22;Av.ENET.min;13;486;1;11;2;1;66,7;97,8;2,2;33,3;84,6;0,2;3;1
