"";"Method";"sensitivity_mean_3";"sensitivity_mean_5";"sensitivity_mean_10";"sensitivity_sd_3";"sensitivity_sd_5";"sensitivity_sd_10";"false.disc.rate_mean_3";"false.disc.rate_mean_5";"false.disc.rate_mean_10";"false.disc.rate_sd_3";"false.disc.rate_sd_5";"false.disc.rate_sd_10";"Sensitivity_3";"Sensitivity_5";"Sensitivity_10";"FDR_3";"FDR_5";"FDR_10"
"1";"Raw.ExWAS.none";"93.337";"86.16";"72.58";"8.62749486680622";"9.22745135917056";"9.41649101472003";"79.138";"72.183";"63.907";"6.79897169883918";"7.68888815174867";"6.67142640692606";"93.3 (8.6)";"86.2 (9.2)";"72.6 (9.4)";"79.1 (6.8)";"72.2 (7.7)";"63.9 (6.7)"
"2";"Raw.Exwas.bon";"71.873";"51.84";"25.96";"19.7256529638054";"15.7138040067845";"12.423438259267";"28.645";"22.372";"19.765";"24.7723875891826";"22.1398132172096";"17.5962827513844";"71.9 (19.7)";"51.8 (15.7)";"26 (12.4)";"28.6 (24.8)";"22.4 (22.1)";"19.8 (17.6)"
"3";"Raw.ExWAS.bh";"83";"70.6";"50.74";"15.8930389437856";"16.2940157571714";"15.8672650765688";"47.64";"42.693";"39.929";"24.9707101147797";"20.3734192793285";"15.7268752475024";"83 (15.9)";"70.6 (16.3)";"50.7 (15.9)";"47.6 (25)";"42.7 (20.4)";"39.9 (15.7)"
"4";"Raw.ExWAS.by";"74.538";"57.44";"32.22";"19.8584932342651";"17.5005454460451";"15.8806024871078";"33.136";"26.994";"23.009";"26.3172851751448";"23.1178702140211";"18.0141924688017";"74.5 (19.9)";"57.4 (17.5)";"32.2 (15.9)";"33.1 (26.3)";"27 (23.1)";"23 (18)"
"5";"Raw.ExWAS.MLM.none";"15.268";"8.8";"6.12";"11.2616079731721";"6.20198729961989";"3.69351055258005";"68.328";"70.217";"63.549";"19.2868567797981";"20.5690365266914";"18.9057443838393";"15.3 (11.3)";"8.8 (6.2)";"6.1 (3.7)";"68.3 (19.3)";"70.2 (20.6)";"63.5 (18.9)"
"6";"Raw.Exwas.MLM.bon";"15.271";"7.68";"4.82";"10.0383939216018";"4.53689699502142";"2.66810567234281";"18.548";"17.398";"18.296";"26.6441476129412";"25.5238885134786";"24.2598846666756";"15.3 (10)";"7.7 (4.5)";"4.8 (2.7)";"18.5 (26.6)";"17.4 (25.5)";"18.3 (24.3)"
"7";"Raw.ExWAS.MLM.bh";"16.597";"9.16";"6.44";"12.4075201618074";"5.99784473074632";"3.5684362644914";"42.225";"45.477";"38.76";"29.9044551763435";"29.2653718737536";"24.8592157169249";"16.6 (12.4)";"9.2 (6)";"6.4 (3.6)";"42.2 (29.9)";"45.5 (29.3)";"38.8 (24.9)"
"8";"Raw.ExWAS.MLM.by";"15.469";"8.48";"4.98";"9.93082839068587";"4.89996907844294";"2.65900414258854";"20.759";"22.754";"19.298";"26.5443067570453";"29.082861140562";"23.3453474697818";"15.5 (9.9)";"8.5 (4.9)";"5 (2.7)";"20.8 (26.5)";"22.8 (29.1)";"19.3 (23.3)"
"9";"Raw.ENET.min";"65.534";"53.88";"38.32";"15.8897032919772";"12.5523389103869";"8.58337599283309";"62.543";"61.748";"57.332";"14.2365744304995";"13.2157121058476";"10.1582616026503";"65.5 (15.9)";"53.9 (12.6)";"38.3 (8.6)";"62.5 (14.2)";"61.7 (13.2)";"57.3 (10.2)"
"10";"Raw.ENET.opt";"33.333";"21.84";"11.84";"15.9678658055433";"14.1154832962555";"9.17915953107743";"8.868";"13.423";"13.596";"13.6277263420031";"18.7164210027322";"15.9573162979977";"33.3 (16)";"21.8 (14.1)";"11.8 (9.2)";"8.9 (13.6)";"13.4 (18.7)";"13.6 (16)"
"11";"Raw.sPLS";"61.532";"55.32";"49.44";"27.478964884273";"24.9382591147972";"26.2929571550938";"19.293";"25.264";"39.764";"24.1559171704043";"22.4996095140078";"24.8540934985842";"61.5 (27.5)";"55.3 (24.9)";"49.4 (26.3)";"19.3 (24.2)";"25.3 (22.5)";"39.8 (24.9)"
"12";"Raw.sNPLS";"86.009";"75.6";"62.2";"18.8359054022692";"21.5106269250125";"21.5340932411182";"11.046";"24.369";"38.723";"20.5413867520421";"22.2426685004341";"18.9904008447011";"86 (18.8)";"75.6 (21.5)";"62.2 (21.5)";"11 (20.5)";"24.4 (22.2)";"38.7 (19)"
"13";"Raw.MMPC";"31.936";"22.72";"15.36";"10.3000688435475";"5.95959458996731";"3.13829394558395";"52.83";"49.083";"40.679";"12.2795016843584";"12.7573235453368";"11.9269518657569";"31.9 (10.3)";"22.7 (6)";"15.4 (3.1)";"52.8 (12.3)";"49.1 (12.8)";"40.7 (11.9)"
"14";"Raw.DSA";"18.527";"13.72";"8.32";"7.85815994859979";"4.33934315189511";"4.0473959704252";"13.723";"11.006";"14.499";"21.1399466518826";"16.8483540544302";"18.6348511063967";"18.5 (7.9)";"13.7 (4.3)";"8.3 (4)";"13.7 (21.1)";"11 (16.8)";"14.5 (18.6)"
"15";"DLNMpen.none";"61.067";"48.28";"34.76";"16.3552052382059";"12.4981453169515";"8.38363003270377";"75.026";"69.481";"62.697";"8.83462677780054";"9.78002184418457";"8.25439527852534";"61.1 (16.4)";"48.3 (12.5)";"34.8 (8.4)";"75 (8.8)";"69.5 (9.8)";"62.7 (8.3)"
"16";"DLNMpen.bonf";"58.07";"40.36";"21.68";"17.9641815338695";"14.7720183202068";"9.68898155826316";"36.12";"32.34";"25.038";"25.2088007720248";"22.4161467777947";"21.0874120141507";"58.1 (18)";"40.4 (14.8)";"21.7 (9.7)";"36.1 (25.2)";"32.3 (22.4)";"25 (21.1)"
"17";"DLNMpen.bh";"60.333";"45.56";"29.34";"16.9122933890341";"13.8084442032088";"10.1823971696851";"48.403";"44.241";"41.466";"25.1745279915227";"22.1663230549809";"19.4506431562537";"60.3 (16.9)";"45.6 (13.8)";"29.3 (10.2)";"48.4 (25.2)";"44.2 (22.2)";"41.5 (19.5)"
"18";"DLNMpen.by";"58.202";"40.84";"22.48";"17.7785080784342";"14.980606992328";"10.802618462973";"36.357";"32.107";"27.366";"26.085749253978";"23.237688192358";"22.2987304073074";"58.2 (17.8)";"40.8 (15)";"22.5 (10.8)";"36.4 (26.1)";"32.1 (23.2)";"27.4 (22.3)"
"19";"DLNMselect.none";"63.594";"46.2";"28.36";"15.4675536579517";"13.7083621165766";"8.51560658764574";"62.2";"57.727";"49.273";"10.8727441640354";"13.795364870825";"12.3492432598483";"63.6 (15.5)";"46.2 (13.7)";"28.4 (8.5)";"62.2 (10.9)";"57.7 (13.8)";"49.3 (12.3)"
"20";"DLNMselect.bonf";"60.928";"38.96";"16.66";"16.4393103642618";"15.2513751656841";"8.05062266241098";"11.85";"12.674";"11.797";"16.3636422558912";"16.2251807043524";"18.5380877649179";"60.9 (16.4)";"39 (15.3)";"16.7 (8.1)";"11.8 (16.4)";"12.7 (16.2)";"11.8 (18.5)"
"21";"DLNMselect.bh";"62.862";"44";"23.8";"15.7486108414153";"14.6721752740596";"9.43879807448539";"27.974";"32.828";"25.2";"22.4849562277905";"20.7706235833305";"19.1048674320436";"62.9 (15.7)";"44 (14.7)";"23.8 (9.4)";"28 (22.5)";"32.8 (20.8)";"25.2 (19.1)"
"22";"DLNMselect.by";"60.861";"38.96";"16.42";"16.1814015636983";"15.2513751656841";"9.2520049697131";"10.236";"12.351";"10.443";"15.904725935102";"16.6526516528362";"17.8493768388522";"60.9 (16.2)";"39 (15.3)";"16.4 (9.3)";"10.2 (15.9)";"12.4 (16.7)";"10.4 (17.8)"
