"";"Method";"sensitivity_mean_3";"sensitivity_mean_5";"sensitivity_mean_10";"sensitivity_sd_3";"sensitivity_sd_5";"sensitivity_sd_10";"false.disc.rate_mean_3";"false.disc.rate_mean_5";"false.disc.rate_mean_10";"false.disc.rate_sd_3";"false.disc.rate_sd_5";"false.disc.rate_sd_10";"Sensitivity_3";"Sensitivity_5";"Sensitivity_10";"FDR_3";"FDR_5";"FDR_10"
"1";"Raw.EWAS.none";"99.001";"93.8";"78.5";"5.70917204632558";"10.5198225587063";"11.7529278535739";"87.868";"82.424";"73.412";"3.05676530689128";"4.11631687877217";"6.09050063457824";"99 (5.7)";"93.8 (10.5)";"78.5 (11.8)";"87.9 (3.1)";"82.4 (4.1)";"73.4 (6.1)"
"2";"Raw.EWAS.bon";"75.679";"39.4";"16";"24.0906591353528";"20.192007619778";"13.1040898851149";"15.036";"14.59";"20.858";"22.321763262599";"22.4685481632805";"28.2801503717803";"75.7 (24.1)";"39.4 (20.2)";"16 (13.1)";"15 (22.3)";"14.6 (22.5)";"20.9 (28.3)"
"3";"Raw.EWAS.bh";"86.343";"58.4";"27.4";"20.1458783663437";"26.0038847136735";"20.0816515076008";"32.244";"27.648";"29.017";"25.4710940146479";"26.3962519531034";"28.3991643603053";"86.3 (20.1)";"58.4 (26)";"27.4 (20.1)";"32.2 (25.5)";"27.6 (26.4)";"29 (28.4)"
"4";"Raw.EWAS.by";"69.675";"35.2";"11.8";"29.2474927700364";"23.6335662680319";"14.6597779965827";"12.496";"12.575";"16.566";"20.7292694058669";"22.7393459346427";"26.1638049776612";"69.7 (29.2)";"35.2 (23.6)";"11.8 (14.7)";"12.5 (20.7)";"12.6 (22.7)";"16.6 (26.2)"
"5";"Raw.EWAS_LM.none";"68.678";"51";"25.4";"27.9618086581384";"19.7714210644832";"13.811135896351";"70.282";"66.302";"64.395";"14.7238237512742";"13.960145146998";"15.4961994363036";"68.7 (28)";"51 (19.8)";"25.4 (13.8)";"70.3 (14.7)";"66.3 (14)";"64.4 (15.5)"
"6";"Raw.EWAS_LM.bon";"63.008";"29.6";"11.1";"27.9973832832119";"18.9587537415924";"11.8828456272906";"8.249";"5.665";"14.666";"22.6740339854142";"14.7856767641436";"30.0603138487752";"63 (28)";"29.6 (19)";"11.1 (11.9)";"8.2 (22.7)";"5.7 (14.8)";"14.7 (30.1)"
"7";"Raw.EWAS_LM.bh";"69.677";"42.8";"16.2";"25.9971671145107";"22.3868648356959";"13.3166562369588";"18.061";"18.155";"20.976";"21.959314514333";"24.556738567874";"28.7529642564963";"69.7 (26)";"42.8 (22.4)";"16.2 (13.3)";"18.1 (22)";"18.2 (24.6)";"21 (28.8)"
"8";"Raw.EWAS_LM.by";"58.003";"27.4";"7.7";"30.2078003672943";"19.6237333117557";"10.8110493421678";"6.166";"7.499";"11.233";"20.0166154214266";"19.9774999446979";"24.8426647304409";"58 (30.2)";"27.4 (19.6)";"7.7 (10.8)";"6.2 (20)";"7.5 (20)";"11.2 (24.8)"
"9";"Raw.ENET_MIN";"98.668";"87.8";"66.8";"6.55831463937885";"15.8005242209417";"19.6371118450795";"75.363";"73.343";"64.239";"14.6460023504192";"13.555193980109";"16.7562676047025";"98.7 (6.6)";"87.8 (15.8)";"66.8 (19.6)";"75.4 (14.6)";"73.3 (13.6)";"64.2 (16.8)"
"10";"Raw.ENET_OPT";"35.996";"15.2";"5.5";"34.718681606957";"23.8039127587517";"11.8385605185561";"2.483";"4.089";"8.158";"10.257966157917";"15.2434910434559";"25.0146469416652";"36 (34.7)";"15.2 (23.8)";"5.5 (11.8)";"2.5 (10.3)";"4.1 (15.2)";"8.2 (25)"
